pleiades_url,geonames_url,match_type,distance,pleiades_locationPrecision,pleiades_featureTypes,geonames_featurecode
http://pleiades.stoa.org/places/991358,http://sws.geonames.org/2509940/,edh,1789.701,rough,"province",PPL
http://pleiades.stoa.org/places/99021,http://sws.geonames.org/2745872/,edh,0.113,precise,"fort",PPL
http://pleiades.stoa.org/places/99003,http://sws.geonames.org/2996944/,edh,719.471,precise,"fort",PPLA
http://pleiades.stoa.org/places/98992,http://sws.geonames.org/2893774/,edh,2.617,precise,"settlement",PPL
http://pleiades.stoa.org/places/98981,http://sws.geonames.org/2904789/,edh,0.023,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/98951,http://sws.geonames.org/2756161/,edh,0.263,precise,"temple",PPL
http://pleiades.stoa.org/places/98933,http://sws.geonames.org/2752899/,edh,0.756,precise,"fort",PPL
http://pleiades.stoa.org/places/98921,http://sws.geonames.org/2750053/,edh,0.415,precise,"settlement, amphitheatre",PPL
http://pleiades.stoa.org/places/981517,http://sws.geonames.org/7602388/,edh,68.319,rough,"province",PPL
http://pleiades.stoa.org/places/964138,http://sws.geonames.org/752706/,edh,5453.879,unlocated,"unlocated",PPL
http://pleiades.stoa.org/places/964138,http://sws.geonames.org/752696/,edh,5572.603,unlocated,"unlocated",PPL
http://pleiades.stoa.org/places/964138,http://sws.geonames.org/745026/,edh,5406.077,unlocated,"unlocated",PPLA2
http://pleiades.stoa.org/places/952093,http://sws.geonames.org/2265525/,edh,5581.018,precise,"settlement",PPLA2
http://pleiades.stoa.org/places/92124,http://sws.geonames.org/2891620/,edh,5607.208,unlocated,"unlocated",PPLX
http://pleiades.stoa.org/places/912936,http://sws.geonames.org/3166018/,edh,3806.075,precise,"settlement",PPLA3
http://pleiades.stoa.org/places/897714,http://sws.geonames.org/81584/,edh,4320.871,unlocated,"unlocated",PPL
http://pleiades.stoa.org/places/897714,http://sws.geonames.org/3186166/,edh,4955.374,unlocated,"unlocated",PPLX
http://pleiades.stoa.org/places/897714,http://sws.geonames.org/3185672/,edh,4940.043,unlocated,"unlocated",PPLA
